"Date","Close","Open","High","Low","Vol","Percentage Change"
"03/10/2023","1,130.89","1,156.86","1,158.38","1,128.54","260.26K","-3.11%"
"02/10/2023","1,167.13","1,166.64","1,173.06","1,159.16","119.87K","0.07%"
"29/09/2023","1,166.26","1,169.26","1,176.77","1,165.15","144.90K","0.16%"
"28/09/2023","1,164.45","1,167.96","1,168.09","1,144.47","193.65K","-0.36%"
"27/09/2023","1,168.60","1,154.54","1,168.60","1,141.09","190.47K","1.32%"
"26/09/2023","1,153.37","1,161.62","1,174.24","1,152.44","242.76K","-0.57%"
"25/09/2023","1,159.94","1,195.36","1,199.65","1,159.94","263.86K","-3.15%"
"22/09/2023","1,197.69","1,210.14","1,210.14","1,180.11","362.18K","-1.76%"
"21/09/2023","1,219.19","1,234.14","1,235.30","1,217.78","254.10K","-1.25%"
"20/09/2023","1,234.57","1,224.64","1,237.21","1,221.64","192.77K","0.74%"
"19/09/2023","1,225.50","1,224.26","1,229.61","1,212.51","226.80K","0.15%"
"18/09/2023","1,223.70","1,235.20","1,236.53","1,214.74","210.41K","-1.22%"
"15/09/2023","1,238.81","1,235.25","1,244.82","1,231.77","273.16K","0.38%"
"14/09/2023","1,234.06","1,247.87","1,255.75","1,231.53","287.97K","-1.11%"
"13/09/2023","1,247.95","1,258.04","1,260.37","1,241.95","296.26K","-0.63%"
"12/09/2023","1,255.83","1,230.70","1,255.83","1,227.32","213.41K","2.04%"
"11/09/2023","1,230.71","1,251.38","1,259.48","1,227.40","328.07K","-1.48%"
"08/09/2023","1,249.14","1,252.10","1,258.33","1,247.95","228.78K","-0.48%"
"07/09/2023","1,255.22","1,261.35","1,268.05","1,251.89","274.25K","-0.38%"
"06/09/2023","1,260.03","1,246.83","1,260.03","1,238.44","250.66K","1.24%"
"05/09/2023","1,244.64","1,241.49","1,248.97","1,238.60","252.63K","0.82%"
"31/08/2023","1,234.53","1,225.93","1,235.71","1,225.93","195.05K","0.73%"
"30/08/2023","1,225.56","1,215.62","1,227.68","1,214.77","214.23K","0.83%"
"29/08/2023","1,215.47","1,215.97","1,217.89","1,207.72","206.96K","0.17%"
"28/08/2023","1,213.40","1,200.26","1,213.61","1,199.02","187.94K","1.63%"
"25/08/2023","1,193.93","1,201.73","1,203.52","1,190.54","186.68K","-0.66%"
"24/08/2023","1,201.88","1,184.28","1,201.95","1,180.46","189.18K","1.60%"
"23/08/2023","1,182.97","1,206.61","1,207.84","1,177.50","225.11K","-0.88%"
"22/08/2023","1,193.51","1,192.11","1,195.97","1,158.60","266.99K","0.27%"
"21/08/2023","1,190.32","1,190.69","1,199.60","1,178.54","259.17K","0.02%"
"18/08/2023","1,190.10","1,240.54","1,243.69","1,187.03","424.01K","-4.63%"
"17/08/2023","1,247.82","1,257.81","1,259.50","1,247.82","281.53K","-0.73%"
"16/08/2023","1,256.95","1,240.88","1,257.57","1,240.88","248.29K","1.27%"
"15/08/2023","1,241.24","1,244.31","1,244.62","1,236.55","185.98K","-0.18%"
"14/08/2023","1,243.43","1,245.06","1,245.96","1,234.12","228.14K","0.21%"
"11/08/2023","1,240.77","1,235.59","1,240.77","1,221.03","234.81K","1.19%"
"10/08/2023","1,226.20","1,241.59","1,243.16","1,225.00","204.53K","-1.10%"
"09/08/2023","1,239.84","1,246.12","1,248.52","1,235.87","249.11K","-0.64%"
"08/08/2023","1,247.81","1,252.05","1,254.21","1,243.84","232.46K","-0.23%"
"07/08/2023","1,250.68","1,230.38","1,250.68","1,230.38","284.03K","1.56%"
"04/08/2023","1,231.42","1,211.77","1,231.42","1,211.77","321.01K","1.70%"
"03/08/2023","1,210.80","1,219.88","1,223.94","1,207.43","264.56K","-0.86%"
"02/08/2023","1,221.32","1,220.70","1,226.12","1,216.67","218.57K","-0.07%"
"01/08/2023","1,222.18","1,239.52","1,240.99","1,222.18","328.43K","-0.70%"
"31/07/2023","1,230.81","1,224.47","1,230.81","1,217.02","294.90K","1.51%"
"28/07/2023","1,212.45","1,199.90","1,212.45","1,197.53","251.64K","1.06%"
"27/07/2023","1,199.68","1,201.11","1,205.35","1,192.35","263.45K","-0.15%"
"26/07/2023","1,201.43","1,198.04","1,201.43","1,195.31","247.53K","0.29%"
"25/07/2023","1,198.01","1,195.13","1,202.39","1,194.89","253.34K","0.41%"
"24/07/2023","1,193.14","1,191.30","1,194.04","1,182.45","265.15K","0.55%"
"21/07/2023","1,186.60","1,167.74","1,186.60","1,166.55","243.82K","1.57%"
"20/07/2023","1,168.26","1,164.69","1,168.26","1,159.64","218.94K","0.26%"
"19/07/2023","1,165.19","1,169.64","1,171.07","1,165.19","198.67K","-0.14%"
"18/07/2023","1,166.82","1,163.70","1,167.81","1,159.05","221.18K","0.19%"
"17/07/2023","1,164.58","1,164.52","1,166.76","1,160.47","238.54K","0.34%"
"14/07/2023","1,160.59","1,160.50","1,162.16","1,146.26","287.04K","0.39%"
"13/07/2023","1,156.11","1,152.58","1,156.11","1,148.71","187.66K","0.83%"
"12/07/2023","1,146.54","1,147.63","1,150.88","1,141.81","223.01K","-0.01%"
"11/07/2023","1,146.67","1,144.35","1,152.16","1,143.60","233.52K","0.31%"
"10/07/2023","1,143.16","1,134.97","1,143.16","1,132.73","247.57K","1.22%"
"07/07/2023","1,129.43","1,118.20","1,129.43","1,116.02","163.61K","0.89%"
"06/07/2023","1,119.44","1,129.74","1,131.54","1,115.91","224.55K","-0.91%"
"05/07/2023","1,129.76","1,131.15","1,134.68","1,128.19","212.15K","0.16%"
"04/07/2023","1,128.00","1,123.54","1,128.35","1,119.29","163.47K","0.41%"
"03/07/2023","1,123.37","1,127.12","1,130.09","1,120.63","140.25K","0.02%"
"30/06/2023","1,123.13","1,125.21","1,127.28","1,121.21","158.13K","-0.19%"
"29/06/2023","1,125.29","1,141.81","1,142.72","1,125.29","218.03K","-1.39%"
"28/06/2023","1,141.12","1,135.89","1,143.53","1,131.92","254.96K","0.59%"
"27/06/2023","1,134.41","1,134.28","1,135.65","1,128.20","174.32K","0.28%"
"26/06/2023","1,131.23","1,130.04","1,134.11","1,118.53","238.65K","0.40%"
"23/06/2023","1,126.76","1,119.02","1,127.29","1,117.41","231.87K","0.82%"
"22/06/2023","1,117.60","1,119.25","1,122.60","1,115.57","199.39K","0.50%"
"21/06/2023","1,112.07","1,104.24","1,112.07","1,101.27","185.86K","0.71%"
"20/06/2023","1,104.27","1,098.92","1,104.27","1,095.38","145.93K","0.49%"
"19/06/2023","1,098.94","1,110.01","1,111.21","1,098.31","193.10K","-0.91%"
"16/06/2023","1,109.06","1,108.59","1,125.62","1,105.74","320.74K","0.04%"
"15/06/2023","1,108.57","1,110.52","1,113.23","1,104.60","171.34K","-0.18%"
"14/06/2023","1,110.60","1,116.53","1,123.86","1,110.60","230.82K","-0.43%"
"13/06/2023","1,115.39","1,110.95","1,115.39","1,108.50","237.70K","0.52%"
"12/06/2023","1,109.63","1,104.08","1,109.63","1,092.30","180.99K","0.80%"
"09/06/2023","1,100.85","1,095.41","1,100.85","1,089.37","198.75K","0.77%"
"08/06/2023","1,092.46","1,107.86","1,110.87","1,092.46","279.41K","-1.20%"
"07/06/2023","1,105.68","1,104.30","1,107.09","1,100.11","266.66K","0.30%"
"06/06/2023","1,102.32","1,091.71","1,102.32","1,090.95","198.43K","1.03%"
"05/06/2023","1,091.08","1,097.53","1,100.37","1,090.52","215.25K","0.38%"
"02/06/2023","1,086.96","1,074.51","1,089.22","1,073.95","263.65K","1.77%"
"01/06/2023","1,068.09","1,065.27","1,068.09","1,060.29","162.84K","0.17%"
"31/05/2023","1,066.33","1,072.72","1,074.30","1,063.44","193.47K","-0.51%"
"30/05/2023","1,071.82","1,073.99","1,074.46","1,066.98","169.59K","0.19%"
"29/05/2023","1,069.77","1,063.62","1,070.97","1,062.79","133.47K","0.84%"
"26/05/2023","1,060.81","1,064.26","1,064.95","1,060.14","110.97K","-0.13%"
"25/05/2023","1,062.15","1,061.16","1,064.24","1,057.35","137.27K","0.06%"
"24/05/2023","1,061.55","1,072.23","1,072.52","1,060.83","155.56K","-0.61%"
"23/05/2023","1,068.05","1,074.26","1,076.89","1,063.85","171.21K","-0.53%"
"22/05/2023","1,073.74","1,070.37","1,073.89","1,068.55","141.53K","0.46%"
"19/05/2023","1,068.84","1,072.77","1,072.77","1,060.72","122.55K","-0.18%"
"18/05/2023","1,070.76","1,065.39","1,076.86","1,063.08","146.69K","0.82%"
"17/05/2023","1,062.10","1,069.54","1,073.87","1,062.10","153.74K","-0.70%"
"16/05/2023","1,069.64","1,072.98","1,073.66","1,066.92","126.57K","-0.12%"
"15/05/2023","1,070.90","1,067.26","1,080.72","1,067.26","195.78K","0.42%"
"12/05/2023","1,066.44","1,056.09","1,066.44","1,051.75","168.09K","1.09%"
"11/05/2023","1,054.93","1,058.02","1,061.48","1,053.62","129.13K","-0.01%"
"10/05/2023","1,054.99","1,051.62","1,055.36","1,048.60","124.30K","0.51%"
"09/05/2023","1,049.67","1,049.86","1,054.49","1,049.23","104.91K","0.00%"
"08/05/2023","1,049.72","1,041.07","1,050.56","1,041.04","147.57K","1.08%"
"05/05/2023","1,038.46","1,038.51","1,042.11","1,035.07","91.88K","-0.11%"
"04/05/2023","1,039.64","1,046.32","1,047.93","1,038.23","126.65K","-1.12%"
"28/04/2023","1,051.43","1,045.38","1,051.43","1,044.56","140.09K","0.95%"
"27/04/2023","1,041.54","1,045.78","1,048.26","1,040.32","105.51K","-0.35%"
"26/04/2023","1,045.24","1,036.30","1,045.24","1,029.94","125.18K","0.79%"
"25/04/2023","1,037.04","1,046.60","1,051.54","1,036.93","121.26K","-0.87%"
"24/04/2023","1,046.17","1,049.24","1,054.00","1,041.46","104.50K","0.00%"
