"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"08/05/2017","165.50","166.52","167.09","164.72","23.50K","-0.62%"
"05/05/2017","166.54","165.56","166.73","165.16","27.69K","0.59%"
"04/05/2017","165.56","165.89","166.87","164.23","30.00K","-0.67%"
"03/05/2017","166.67","166.75","167.20","164.58","30.37K","-0.08%"
"28/04/2017","166.80","167.14","167.61","164.60","33.29K","-0.20%"
"27/04/2017","167.14","164.27","168.59","164.21","34.70K","1.35%"
"26/04/2017","164.92","163.97","166.46","162.66","32.63K","0.58%"
"25/04/2017","163.97","164.63","164.74","162.39","38.83K","-0.52%"
"24/04/2017","164.82","165.73","166.04","164.28","26.92K","-0.67%"
"21/04/2017","165.93","164.43","166.61","164.43","27.61K","0.91%"
"20/04/2017","164.43","166.70","167.05","163.99","27.31K","-1.34%"
"19/04/2017","166.67","166.40","168.02","165.62","35.08K","0.14%"
"18/04/2017","166.43","164.34","166.72","161.99","45.50K","1.33%"
"17/04/2017","164.24","168.00","169.66","164.20","38.68K","-2.24%"
"14/04/2017","168.00","168.23","168.95","164.30","37.81K","-0.14%"
"13/04/2017","168.23","167.18","169.12","166.24","32.75K","0.66%"
"12/04/2017","167.12","168.47","169.01","166.18","33.52K","-0.80%"
"11/04/2017","168.47","165.77","169.51","165.77","55.78K","1.70%"
"10/04/2017","165.66","163.44","166.05","163.42","49.47K","1.36%"
"07/04/2017","163.44","164.45","164.80","162.46","22.92K","-0.61%"
"05/04/2017","164.45","166.08","166.54","164.27","24.08K","-0.98%"
"04/04/2017","166.08","164.76","167.26","164.60","33.58K","0.33%"
"03/04/2017","165.54","165.74","166.18","164.46","19.91K","-0.26%"
"31/03/2017","165.97","167.45","167.69","165.45","20.33K","-0.83%"
"30/03/2017","167.36","166.40","167.66","166.27","20.69K","0.64%"
"29/03/2017","166.30","165.92","167.09","164.93","24.60K","0.29%"
"28/03/2017","165.82","165.01","167.71","165.01","26.26K","-0.98%"
"27/03/2017","167.46","166.97","168.70","166.45","35.87K","0.54%"
"24/03/2017","166.56","162.70","166.56","162.39","45.85K","2.37%"
"23/03/2017","162.70","161.92","162.96","161.23","17.92K","0.48%"
"22/03/2017","161.92","163.32","164.13","161.73","30.58K","-0.86%"
"21/03/2017","163.32","162.12","163.32","161.32","28.76K","0.86%"
"20/03/2017","161.93","160.58","162.77","160.02","25.22K","0.84%"
"17/03/2017","160.58","160.17","161.75","159.68","32.31K","0.38%"
"16/03/2017","159.97","155.89","160.23","155.89","23.02K","1.29%"
"15/03/2017","157.93","157.91","158.38","156.99","21.74K","0.01%"
"14/03/2017","157.91","157.20","158.48","156.92","21.34K","0.45%"
"13/03/2017","157.20","159.24","159.28","157.12","26.55K","-1.30%"
"10/03/2017","159.27","158.68","159.81","158.38","24.87K","0.37%"
"09/03/2017","158.68","158.91","160.00","158.17","21.12K","-0.13%"
"08/03/2017","158.89","157.76","160.82","156.69","25.29K","0.72%"
"07/03/2017","157.76","157.51","157.93","156.31","23.86K","0.27%"
"06/03/2017","157.33","156.95","158.48","156.30","25.07K","0.24%"
"03/03/2017","156.95","157.99","158.16","156.06","16.60K","-0.65%"
"02/03/2017","157.97","157.90","158.90","157.19","26.36K","0.04%"
"01/03/2017","157.90","158.33","158.67","156.02","27.44K","-0.27%"
"28/02/2017","158.33","158.51","160.92","158.19","30.72K","0.03%"
"27/02/2017","158.29","157.46","158.77","156.93","30.57K","0.53%"
"24/02/2017","157.46","157.60","159.31","157.04","25.19K","-0.09%"
"23/02/2017","157.60","158.57","158.92","156.11","19.91K","-0.61%"
"22/02/2017","158.57","158.75","159.93","158.21","22.02K","-0.11%"
"21/02/2017","158.75","158.26","159.77","157.59","26.28K","0.33%"
"20/02/2017","158.23","156.07","158.30","155.77","26.05K","1.38%"
"17/02/2017","156.07","155.78","156.28","154.88","21.54K","0.19%"
"16/02/2017","155.78","157.31","158.74","155.78","30.59K","-0.99%"
"15/02/2017","157.33","156.78","158.10","156.28","18.93K","0.35%"
"14/02/2017","156.78","157.45","157.96","156.35","24.39K","-0.39%"
"13/02/2017","157.39","154.93","157.53","154.76","23.36K","1.59%"
"10/02/2017","154.93","154.10","155.77","153.32","18.35K","0.54%"
"09/02/2017","154.10","153.67","154.54","153.34","15.24K","0.23%"
"08/02/2017","153.74","153.79","154.40","153.03","17.98K","-0.03%"
"07/02/2017","153.79","152.21","155.16","152.18","24.51K","0.58%"
"06/02/2017","152.90","151.86","153.46","151.53","23.74K","0.74%"
"03/02/2017","151.78","150.74","152.18","150.54","15.38K","0.69%"
"02/02/2017","150.74","151.36","152.06","150.19","6.15K","-0.41%"
"25/01/2017","151.36","149.80","151.64","149.14","5.97K","1.03%"
"24/01/2017","149.81","148.38","150.23","147.35","5.90K","1.06%"
"23/01/2017","148.24","148.15","149.30","147.48","6.98K","-0.38%"
"20/01/2017","148.81","147.90","149.59","147.84","6.49K","0.83%"
"19/01/2017","147.58","148.05","148.78","147.32","6.53K","-0.59%"
"18/01/2017","148.45","150.20","151.04","148.45","8.52K","-1.17%"
"17/01/2017","150.20","147.40","150.66","147.37","8.27K","0.71%"
"16/01/2017","149.14","150.56","150.70","148.88","9.36K","-0.77%"
"13/01/2017","150.29","150.54","151.59","149.86","11.24K","-0.19%"
"12/01/2017","150.57","150.46","151.50","149.77","9.85K","-0.01%"
"11/01/2017","150.58","150.25","151.08","149.65","9.46K","0.22%"
"10/01/2017","150.25","149.13","150.30","148.05","16.19K","0.80%"
"09/01/2017","149.06","147.63","150.09","147.57","13.74K","0.97%"
"06/01/2017","147.63","146.21","148.29","145.56","13.54K","0.97%"
"05/01/2017","146.21","146.71","147.13","146.04","11.15K","-0.39%"
"04/01/2017","146.78","145.99","147.74","145.73","12.82K","0.54%"
"03/01/2017","145.99","143.54","146.21","142.90","17.87K","1.71%"
"30/12/2016","143.54","142.98","143.57","142.01","9.75K","0.46%"
"29/12/2016","142.88","142.45","143.18","141.93","8.65K","0.53%"
"28/12/2016","142.12","141.23","142.97","141.23","12.32K","0.62%"
"27/12/2016","141.25","142.04","142.25","140.70","12.91K","-0.34%"
"26/12/2016","141.73","141.49","142.23","140.65","10.15K","0.39%"
"23/12/2016","141.18","142.57","143.19","140.63","11.62K","-0.97%"
"22/12/2016","142.57","144.48","145.21","142.51","14.97K","-1.32%"
"21/12/2016","144.48","143.44","144.93","143.38","12.43K","0.73%"
"20/12/2016","143.44","144.17","144.89","142.69","17.78K","-0.46%"
"19/12/2016","144.10","143.24","145.32","142.87","16.83K","0.60%"
"16/12/2016","143.24","141.05","143.24","140.90","14.23K","1.55%"
"15/12/2016","141.05","141.21","141.76","138.97","16.12K","0.24%"
"14/12/2016","140.71","137.53","141.51","137.39","22.12K","1.23%"
"13/12/2016","139.00","140.82","141.57","138.87","14.42K","-1.38%"
"12/12/2016","140.95","142.69","143.97","140.95","18.27K","-1.31%"
"09/12/2016","142.82","142.86","144.32","141.96","21.69K","-0.13%"
"08/12/2016","143.00","140.57","144.13","140.36","22.29K","0.41%"
"07/12/2016","142.41","141.89","143.02","141.71","24.10K","0.22%"
"06/12/2016","142.10","144.49","144.57","141.84","16.43K","-1.65%"
"05/12/2016","144.49","146.33","146.79","144.03","45.58K","-1.12%"
"02/12/2016","146.13","146.91","147.66","146.01","13.32K","-0.40%"
"01/12/2016","146.71","144.78","147.97","144.78","20.73K","1.33%"
"30/11/2016","144.78","143.04","144.89","141.50","14.54K","1.44%"
"29/11/2016","142.73","143.03","144.51","141.89","13.70K","-0.16%"
"28/11/2016","142.96","145.53","145.53","142.96","17.05K","-1.68%"
"25/11/2016","145.40","146.13","146.13","145.00","20.89K","-0.40%"
"24/11/2016","145.99","146.40","146.63","145.70","14.43K","-0.28%"
"23/11/2016","146.40","146.16","146.75","145.43","12.45K","0.25%"
"22/11/2016","146.03","144.81","146.38","144.81","15.81K","0.89%"
"21/11/2016","144.74","145.25","146.10","144.71","9.42K","-0.32%"
"18/11/2016","145.21","145.67","146.13","144.79","13.10K","-0.27%"
"17/11/2016","145.61","146.15","146.69","144.99","12.05K","-0.37%"
"16/11/2016","146.15","145.53","147.22","144.79","18.21K","0.34%"
"15/11/2016","145.66","145.69","145.99","144.96","12.40K","0.23%"
"14/11/2016","145.32","146.08","146.42","144.92","13.23K","-0.59%"
"11/11/2016","146.18","147.10","147.22","146.12","11.22K","-0.73%"
"10/11/2016","147.26","142.41","147.32","142.41","16.98K","2.21%"
"09/11/2016","144.07","146.88","147.37","139.17","21.51K","-2.00%"
"08/11/2016","147.01","146.25","147.50","145.54","20.37K","0.52%"
"07/11/2016","146.25","143.80","146.55","143.80","11.31K","1.22%"
"04/11/2016","144.49","145.10","145.14","143.76","8.99K","-0.42%"
"03/11/2016","145.10","146.31","146.31","142.86","18.67K","-0.83%"
"02/11/2016","146.31","149.32","149.37","146.27","13.34K","-2.02%"
"01/11/2016","149.32","149.30","149.83","148.39","14.90K","0.01%"
"31/10/2016","149.30","151.32","152.24","149.30","11.61K","-1.31%"
"28/10/2016","151.28","150.09","151.41","149.24","17.48K","0.78%"
"27/10/2016","150.11","149.26","150.33","148.29","10.97K","0.52%"
"26/10/2016","149.33","151.05","151.74","148.54","14.00K","-1.18%"
"25/10/2016","151.12","151.39","151.93","149.50","14.48K","-0.22%"
"24/10/2016","151.46","154.00","154.51","151.05","16.84K","-1.65%"
"21/10/2016","154.00","155.58","155.89","153.76","15.18K","-1.07%"
"20/10/2016","155.67","156.24","158.40","155.25","22.54K","-0.35%"
"19/10/2016","156.22","153.89","156.62","153.89","25.84K","1.43%"
"18/10/2016","154.01","153.70","154.32","152.63","16.21K","0.18%"
"17/10/2016","153.73","154.34","154.78","153.31","16.38K","-0.40%"
"14/10/2016","154.34","153.81","155.20","153.29","24.79K","0.34%"
"13/10/2016","153.81","152.27","153.81","151.66","18.41K","0.88%"
"12/10/2016","152.47","152.24","153.88","151.87","15.93K","0.19%"
"11/10/2016","152.18","152.36","152.79","149.96","15.71K","0.07%"
"10/10/2016","152.07","154.28","154.82","152.04","14.86K","-1.43%"
"07/10/2016","154.28","155.72","157.15","153.06","22.67K","-0.92%"
"06/10/2016","155.71","154.41","156.95","154.41","22.53K","0.89%"
"05/10/2016","154.34","153.29","155.06","153.18","14.63K","0.68%"
"04/10/2016","153.29","154.39","155.93","152.29","17.12K","-0.65%"
"03/10/2016","154.29","153.37","156.13","153.37","12.73K","0.56%"
"30/09/2016","153.43","154.39","155.10","153.43","17.23K","-0.62%"
"29/09/2016","154.39","152.37","155.20","152.37","26.57K","1.59%"
"28/09/2016","151.97","149.84","152.54","149.71","15.70K","0.90%"
"27/09/2016","150.62","149.40","150.81","149.16","14.27K","0.83%"
"26/09/2016","149.38","150.30","150.79","148.77","13.75K","-0.59%"
"23/09/2016","150.27","151.02","151.33","150.08","13.35K","-0.51%"
"22/09/2016","151.04","151.70","153.15","150.87","18.46K","-0.44%"
"21/09/2016","151.70","151.10","152.05","150.41","16.79K","0.42%"
"20/09/2016","151.07","149.63","151.08","149.26","19.04K","0.50%"
"19/09/2016","150.32","149.11","150.69","148.94","18.54K","1.06%"
"16/09/2016","148.75","150.98","150.98","148.26","47.95K","-1.52%"
"15/09/2016","151.05","152.70","152.80","150.05","13.30K","-1.13%"
"14/09/2016","152.77","154.01","154.01","152.31","16.40K","-0.81%"
"13/09/2016","154.01","153.33","154.23","152.37","17.45K","0.44%"
"12/09/2016","153.33","155.29","155.64","152.47","18.94K","-1.26%"
"09/09/2016","155.29","155.75","156.53","154.68","20.83K","-0.39%"
"08/09/2016","155.90","154.43","156.27","154.36","18.76K","0.95%"
"07/09/2016","154.43","154.40","154.73","153.79","12.85K","0.02%"
"06/09/2016","154.40","153.74","155.51","153.68","16.28K","0.43%"
"05/09/2016","153.74","153.36","154.46","152.73","16.42K","0.25%"
"01/09/2016","153.36","154.83","154.88","153.09","19.21K","-0.91%"
"31/08/2016","154.77","153.66","154.99","153.24","20.41K","0.72%"
"30/08/2016","153.66","151.95","153.80","151.83","23.60K","1.05%"
"29/08/2016","152.06","154.46","155.18","151.92","24.91K","-1.46%"
"26/08/2016","154.31","152.78","154.42","152.78","17.77K","0.95%"
"25/08/2016","152.86","152.82","153.45","152.03","13.56K","-0.03%"
"24/08/2016","152.90","152.26","153.71","151.65","14.26K","0.18%"
"23/08/2016","152.62","150.95","153.01","150.72","12.33K","0.69%"
"22/08/2016","151.58","152.44","152.89","151.46","12.94K","-0.56%"
"19/08/2016","152.44","154.32","154.99","152.28","13.57K","-1.15%"
"18/08/2016","154.22","154.24","154.64","152.12","16.86K","-0.01%"
"17/08/2016","154.24","153.90","154.25","152.37","19.87K","0.70%"
"16/08/2016","153.17","152.97","154.81","152.28","21.62K","0.13%"
"15/08/2016","152.97","152.44","153.24","151.97","18.05K","0.35%"
"12/08/2016","152.44","151.97","154.02","151.43","22.15K","0.34%"
"11/08/2016","151.92","148.95","152.09","148.33","21.92K","1.99%"
"10/08/2016","148.95","147.78","148.95","147.06","17.41K","0.78%"
"09/08/2016","147.80","145.54","147.80","145.51","13.90K","1.30%"
"08/08/2016","145.90","146.27","146.87","144.70","13.61K","-0.30%"
"05/08/2016","146.34","146.10","146.42","144.47","19.66K","0.15%"
"04/08/2016","146.12","146.68","148.77","146.02","16.67K","-0.39%"
"03/08/2016","146.69","147.53","147.92","146.48","14.36K","-0.57%"
"02/08/2016","147.53","150.76","150.93","147.12","20.65K","-2.14%"
"01/08/2016","150.76","151.46","151.90","150.67","12.71K","-0.44%"
"29/07/2016","151.43","151.18","151.91","150.64","12.69K","0.15%"
"28/07/2016","151.20","151.76","152.11","150.51","17.27K","-0.37%"
"27/07/2016","151.76","151.41","152.62","150.47","15.02K","0.23%"
"26/07/2016","151.41","151.94","152.01","150.45","12.44K","-0.40%"
"25/07/2016","152.02","152.42","153.06","151.65","12.63K","-0.37%"
"22/07/2016","152.58","153.30","153.53","149.61","24.34K","-0.47%"
"21/07/2016","153.30","154.99","155.20","152.15","18.90K","-1.22%"
"20/07/2016","155.19","157.61","157.61","154.85","18.76K","-1.54%"
"19/07/2016","157.61","158.23","158.76","156.02","26.67K","-0.40%"
"18/07/2016","158.25","156.45","158.25","156.45","21.34K","0.80%"
"15/07/2016","157.00","157.22","157.80","155.95","21.29K","-0.19%"
"14/07/2016","157.30","158.82","159.82","157.26","30.69K","-0.96%"
"13/07/2016","158.82","157.52","159.96","157.52","31.15K","0.89%"
"12/07/2016","157.42","155.92","157.42","154.18","31.57K","0.96%"
"11/07/2016","155.92","160.01","160.99","155.88","45.61K","-2.56%"
"08/07/2016","160.01","161.18","161.86","159.06","31.24K","-0.70%"
"07/07/2016","161.13","157.49","161.13","157.16","39.04K","2.31%"
"06/07/2016","157.49","154.80","157.54","154.03","33.03K","1.60%"
"05/07/2016","155.01","154.66","156.70","154.59","31.49K","0.23%"
"04/07/2016","154.66","152.39","154.66","152.29","22.61K","1.49%"
"01/07/2016","152.39","151.06","152.77","150.87","16.58K","0.43%"
"30/06/2016","151.74","152.31","153.40","151.11","18.49K","-0.37%"
"29/06/2016","152.31","151.01","152.42","150.77","18.64K","0.86%"
"28/06/2016","151.01","149.82","151.01","148.76","14.11K","0.77%"
"27/06/2016","149.86","149.43","149.89","145.79","24.01K","0.29%"
"24/06/2016","149.43","153.42","153.42","143.46","56.79K","-2.59%"
"23/06/2016","153.40","152.68","153.66","152.21","22.41K","0.57%"
"22/06/2016","152.53","151.26","152.74","151.22","28.23K","0.84%"
"21/06/2016","151.26","151.46","152.13","150.89","18.31K","-0.13%"
"20/06/2016","151.46","149.83","151.46","149.83","16.17K","0.87%"
"17/06/2016","150.16","151.54","151.77","150.05","23.48K","-0.91%"
"16/06/2016","151.54","152.46","152.65","151.31","21.50K","-0.55%"
"15/06/2016","152.38","151.56","152.42","150.80","18.41K","0.16%"
"14/06/2016","152.13","152.03","152.88","150.90","18.16K","0.05%"
"13/06/2016","152.05","152.98","153.11","151.15","27.02K","-0.80%"
"10/06/2016","153.28","153.28","154.14","152.37","26.96K","-0.08%"
"09/06/2016","153.40","151.36","153.44","151.36","27.32K","1.33%"
"08/06/2016","151.39","150.38","152.03","150.38","31.41K","0.74%"
"07/06/2016","150.28","148.74","150.33","148.74","27.86K","1.04%"
"06/06/2016","148.74","149.44","150.66","148.38","22.11K","-0.47%"
"03/06/2016","149.44","148.59","150.43","148.42","32.94K","0.62%"
"02/06/2016","148.52","147.79","148.81","147.42","16.18K","0.50%"
"01/06/2016","147.78","147.71","148.44","147.28","20.31K","0.05%"
"31/05/2016","147.71","146.64","148.57","146.50","30.04K","0.74%"
"30/05/2016","146.62","145.91","147.03","145.74","19.12K","0.49%"
"27/05/2016","145.91","145.05","145.95","144.41","15.22K","0.63%"
"26/05/2016","145.00","143.98","146.34","143.70","20.36K","-0.54%"
"25/05/2016","145.79","145.88","146.95","145.50","14.69K","-0.15%"
"24/05/2016","146.01","145.99","146.57","145.22","12.42K","0.03%"
"23/05/2016","145.96","146.77","147.44","145.86","14.15K","-0.74%"
"20/05/2016","147.05","146.49","148.18","146.49","12.49K","0.05%"
"19/05/2016","146.98","148.64","148.66","146.78","17.34K","-1.12%"
"18/05/2016","148.64","148.86","149.88","148.25","26.53K","-0.15%"
"17/05/2016","148.86","148.11","149.36","146.78","31.57K","1.12%"
"16/05/2016","147.21","145.45","147.25","145.31","16.70K","1.21%"
"13/05/2016","145.45","144.53","146.78","144.34","17.65K","0.69%"
"12/05/2016","144.46","143.06","145.52","143.06","17.51K","0.98%"
"11/05/2016","143.06","142.55","143.29","142.19","15.23K","0.36%"
"10/05/2016","142.55","143.10","143.29","141.57","15.30K","-0.33%"
"09/05/2016","143.02","142.45","144.26","142.43","15.52K","0.46%"
"06/05/2016","142.37","142.50","143.16","142.07","16.02K","-0.13%"
"05/05/2016","142.56","142.40","143.67","142.14","12.41K","-0.12%"
"04/05/2016","142.73","142.88","143.02","141.25","18.86K","-0.10%"
"29/04/2016","142.88","142.36","142.97","141.98","11.04K","0.31%"
"28/04/2016","142.44","141.84","143.23","141.40","14.62K","0.42%"
"27/04/2016","141.84","142.99","143.81","141.73","16.67K","-0.82%"
"26/04/2016","143.01","143.60","143.60","142.50","17.23K","-0.24%"
"25/04/2016","143.36","144.63","145.36","142.79","13.80K","-0.71%"
"22/04/2016","144.39","141.88","144.40","141.53","21.16K","1.83%"
"21/04/2016","141.80","140.06","142.03","140.06","16.75K","1.24%"
"20/04/2016","140.06","140.16","140.57","139.01","14.88K","-0.01%"
"19/04/2016","140.08","141.99","142.18","139.65","17.03K","-1.50%"
"15/04/2016","142.21","142.25","143.11","141.98","15.57K","-0.03%"
"14/04/2016","142.25","142.00","142.42","141.44","14.02K","0.14%"
"13/04/2016","142.05","142.85","143.97","141.67","19.39K","-0.56%"
"12/04/2016","142.85","143.38","144.11","142.69","19.91K","-0.37%"
"11/04/2016","143.38","143.34","144.41","142.86","20.43K","0.49%"
"08/04/2016","142.68","140.99","142.72","140.54","18.31K","1.23%"
"07/04/2016","140.95","141.17","141.67","140.69","13.03K","0.07%"
"06/04/2016","140.85","139.69","141.09","139.43","13.19K","0.77%"
"05/04/2016","139.77","138.75","139.97","138.02","16.60K","0.79%"
"04/04/2016","138.68","138.10","139.58","137.67","13.77K","0.42%"
"01/04/2016","138.10","139.20","140.43","138.06","13.37K","-1.02%"
"31/03/2016","139.53","141.40","142.30","139.23","13.30K","-1.25%"
"30/03/2016","141.30","141.26","142.52","140.29","14.76K","0.03%"
"29/03/2016","141.26","143.68","143.90","141.26","17.73K","-1.68%"
"28/03/2016","143.68","142.12","143.73","142.09","14.03K","1.15%"
"25/03/2016","142.04","143.76","143.76","141.42","16.71K","-0.98%"
"24/03/2016","143.44","144.58","144.77","143.44","17.34K","-0.77%"
"23/03/2016","144.55","143.72","144.83","143.19","16.08K","0.58%"
"22/03/2016","143.72","142.69","144.03","142.23","15.96K","0.29%"
"21/03/2016","143.31","144.09","144.73","142.86","17.92K","-0.69%"
"18/03/2016","144.30","144.32","145.16","143.93","16.74K","-0.01%"
"17/03/2016","144.32","143.29","145.23","143.28","24.37K","0.94%"
"16/03/2016","142.97","141.61","143.65","141.35","17.67K","0.48%"
"15/03/2016","142.29","143.21","143.82","141.99","18.69K","-0.59%"
"14/03/2016","143.13","142.94","143.84","142.65","19.84K","0.13%"
"11/03/2016","142.94","142.68","143.62","142.04","16.10K","0.18%"
"10/03/2016","142.68","141.35","142.71","141.19","15.15K","0.94%"
"09/03/2016","141.35","140.74","141.97","140.21","13.92K","0.35%"
"08/03/2016","140.85","141.47","143.08","140.82","20.51K","-0.66%"
"07/03/2016","141.78","141.49","142.53","141.44","24.83K","0.43%"
"04/03/2016","141.17","140.26","141.65","140.08","12.51K","0.65%"
"03/03/2016","140.26","140.27","141.40","139.82","16.06K","-0.01%"
"02/03/2016","140.27","140.09","140.92","139.97","16.89K","0.09%"
"01/03/2016","140.15","139.49","140.69","139.26","13.07K","0.47%"
"29/02/2016","139.49","140.50","140.65","138.97","15.59K","-0.72%"
"26/02/2016","140.50","139.52","140.60","138.84","11.33K","0.70%"
"25/02/2016","139.52","141.48","142.42","138.96","30.86K","-0.87%"
"24/02/2016","140.74","137.61","141.24","137.57","25.14K","1.08%"
"23/02/2016","139.23","139.54","141.46","139.03","20.36K","-0.28%"
"22/02/2016","139.62","137.89","140.45","137.72","20.71K","1.10%"
"19/02/2016","138.10","138.95","139.58","138.10","16.71K","-0.70%"
"18/02/2016","139.07","137.87","140.01","137.87","17.04K","0.87%"
"17/02/2016","137.87","139.46","139.74","137.56","18.48K","-1.14%"
"16/02/2016","139.46","136.34","139.90","136.34","20.62K","2.23%"
"15/02/2016","136.42","136.78","137.32","133.91","13.16K","0.04%"
"05/02/2016","136.36","135.44","136.66","134.75","8.37K","0.68%"
"04/02/2016","135.44","134.29","135.54","133.49","8.04K","1.35%"
"03/02/2016","133.63","134.10","134.10","132.11","12.01K","-0.34%"
"02/02/2016","134.08","135.38","135.46","133.54","13.97K","-0.96%"
"01/02/2016","135.38","136.58","137.53","135.26","18.49K","-0.82%"
"29/01/2016","136.50","134.60","136.73","134.10","21.14K","1.41%"
"28/01/2016","134.60","133.11","136.80","133.11","25.23K","0.02%"
"27/01/2016","134.57","132.30","134.67","132.30","17.23K","1.72%"
"26/01/2016","132.30","134.49","135.13","130.79","20.59K","-1.57%"
"25/01/2016","134.41","127.79","134.63","127.79","21.91K","5.01%"
"22/01/2016","128.00","124.58","128.02","124.37","25.28K","2.34%"
"21/01/2016","125.07","127.04","127.51","124.27","17.78K","-1.69%"
"20/01/2016","127.22","128.06","128.54","126.47","13.64K","-0.72%"
"19/01/2016","128.14","125.80","128.39","125.27","12.27K","1.66%"
"18/01/2016","126.05","130.81","130.81","123.49","31.04K","-3.66%"
"15/01/2016","130.84","132.13","133.76","130.80","15.68K","-1.13%"
"14/01/2016","132.34","134.24","134.78","131.49","17.75K","-1.42%"
"13/01/2016","134.24","134.45","136.08","133.64","13.34K","-0.16%"
"12/01/2016","134.45","132.39","134.45","130.95","16.03K","1.36%"
"11/01/2016","132.64","133.19","133.83","132.64","10.11K","-0.59%"
"08/01/2016","133.43","134.55","135.94","132.77","17.70K","-1.08%"
"07/01/2016","134.88","139.04","140.04","133.55","22.04K","-2.77%"
"06/01/2016","138.72","138.11","139.13","137.68","9.89K","0.44%"
"05/01/2016","138.11","140.51","141.06","137.78","13.42K","-1.39%"
"04/01/2016","140.06","140.94","142.05","139.58","11.79K","-0.79%"
"31/12/2015","141.17","139.93","141.19","139.14","12.04K","0.89%"
"30/12/2015","139.93","138.75","139.96","138.63","16.76K","1.01%"
"29/12/2015","138.53","136.53","138.69","135.72","15.50K","1.38%"
"28/12/2015","136.64","137.18","137.62","136.21","11.00K","-0.34%"
"25/12/2015","137.10","137.82","138.62","137.06","10.26K","-0.41%"
"24/12/2015","137.67","137.18","138.98","137.18","11.42K","0.29%"
"23/12/2015","137.27","139.04","139.69","136.90","10.32K","-1.03%"
"22/12/2015","138.70","138.44","140.43","138.27","9.26K","0.30%"
"21/12/2015","138.28","139.64","139.73","137.86","13.75K","0.46%"
"18/12/2015","137.65","139.07","140.86","137.65","19.67K","-2.27%"
"17/12/2015","140.85","140.65","141.52","140.12","12.90K","0.54%"
"16/12/2015","140.10","139.12","142.02","139.12","11.84K","0.49%"
"15/12/2015","139.41","138.38","140.11","137.93","6.44K","0.50%"
"14/12/2015","138.72","139.80","140.30","138.08","10.45K","-1.08%"
"11/12/2015","140.23","139.77","140.95","139.20","10.48K","0.33%"
"10/12/2015","139.77","141.66","142.02","139.77","10.67K","-1.33%"
"09/12/2015","141.66","143.82","143.89","141.66","11.78K","-1.50%"
"08/12/2015","143.82","142.96","143.83","140.98","18.76K","0.60%"
"07/12/2015","142.96","144.60","144.62","142.74","10.01K","-1.13%"
"04/12/2015","144.60","144.44","144.77","143.34","11.09K","0.18%"
"03/12/2015","144.34","145.48","145.53","144.23","9.47K","-0.78%"
"02/12/2015","145.48","145.21","145.99","144.68","14.54K","0.19%"
"01/12/2015","145.21","145.99","146.80","144.96","11.16K","-0.48%"
"30/11/2015","145.91","148.04","148.08","145.02","17.16K","-1.44%"
"27/11/2015","148.04","149.71","150.19","147.67","29.21K","-0.84%"
"26/11/2015","149.30","149.80","150.72","149.30","26.35K","-0.33%"
"25/11/2015","149.80","148.82","150.35","147.71","23.35K","0.46%"
"24/11/2015","149.11","149.79","150.84","147.48","21.06K","-0.45%"
"23/11/2015","149.79","148.95","150.88","148.91","24.20K","0.56%"
"20/11/2015","148.95","148.35","149.99","148.18","18.16K","0.40%"
"19/11/2015","148.35","149.13","149.37","148.04","13.94K","-0.52%"
"18/11/2015","149.13","149.13","149.40","148.32","16.26K","0.11%"
"17/11/2015","148.97","148.65","150.16","148.54","31.29K","0.22%"
"16/11/2015","148.65","149.84","150.11","148.30","23.88K","-0.74%"
"13/11/2015","149.76","149.45","149.77","148.12","20.90K","0.44%"
"12/11/2015","149.11","148.22","149.15","146.83","15.18K","0.59%"
"11/11/2015","148.24","149.07","149.74","148.02","12.62K","-0.58%"
"10/11/2015","149.11","150.34","151.62","149.11","13.98K","-0.83%"
"09/11/2015","150.36","150.52","151.29","148.20","17.78K","-0.12%"
"06/11/2015","150.54","151.76","151.98","149.43","14.55K","-0.82%"
"05/11/2015","151.78","151.75","152.44","151.09","12.67K","0.02%"
"04/11/2015","151.75","152.28","153.74","151.52","20.53K","-0.33%"
"03/11/2015","152.26","149.89","152.27","149.76","20.43K","1.52%"
"02/11/2015","149.98","153.05","155.93","149.77","12.32K","-1.36%"
"30/10/2015","152.05","152.13","153.08","151.63","10.72K","-0.09%"
"29/10/2015","152.19","150.03","152.36","150.03","15.80K","1.47%"
"28/10/2015","149.99","150.39","151.15","149.52","13.63K","-0.27%"
"27/10/2015","150.39","151.44","151.64","149.88","15.87K","-0.73%"
"26/10/2015","151.50","151.38","152.76","151.17","15.74K","0.09%"
"23/10/2015","151.36","151.17","152.73","151.14","13.29K","0.08%"
"22/10/2015","151.24","149.96","151.63","149.57","12.32K","0.88%"
"21/10/2015","149.92","149.82","151.58","149.72","13.92K","-0.37%"
"20/10/2015","150.47","151.42","151.79","149.72","16.29K","-0.63%"
"19/10/2015","151.42","151.61","151.92","150.58","13.95K","-0.07%"
"16/10/2015","151.53","151.66","153.21","151.34","21.71K","-0.09%"
"15/10/2015","151.66","150.19","151.91","149.87","19.24K","0.92%"
"14/10/2015","150.28","150.52","150.98","149.76","13.90K","-0.18%"
"13/10/2015","150.55","151.22","151.51","150.09","17.35K","-0.69%"
"12/10/2015","151.60","151.35","152.82","151.13","17.82K","0.17%"
"09/10/2015","151.35","150.64","153.18","149.29","28.31K","0.25%"
